PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;6;14;43%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;6;21;29%
04MaxMin;ds.MaxMin3;16;16;100%;17;62;27%
05Ordenacao;ds.Ordenacao;10;10;100%;14;20;70%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;9;42;21%
09Ordenacao;ds.Ordenacao;16;16;100%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;0;14;0%;0;79;0%
11ListArray;ds.Lista;12;12;100%;21;31;68%
12Lista;ds.Lista;12;12;100%;16;23;70%
13Pilha;ds.Pilha;12;12;100%;21;31;68%
14Pilha;ds.Pilha;17;17;100%;17;31;55%
15Fila;ds.Fila;19;19;100%;28;43;65%
16Fila;ds.Fila;23;23;100%;37;37;100%
17Ordenacao;ds.Ordenacao;48;48;100%;73;139;53%
18FPHeapMax;ds.FPHeapMax;40;40;100%;64;117;55%
19FPHeapMin;ds.FPHeapMin;42;42;100%;65;120;54%
20Tabela;ds.Tabela;21;21;100%;32;57;56%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;42;89;47%
23TabelaHash;ds.TabelaHash;52;52;100%;100;166;60%
24Grafo;ds.Grafo;8;42;19%;10;143;7%
25Grafo;ds.Grafo;34;34;100%;64;109;59%
26Grafo;ds.Grafo;49;51;96%;55;127;43%
27Grafo;ds.Grafo;33;33;100%;65;108;60%
28BuscaEmLargura;ds.Grafo;33;33;100%;65;108;60%
29Grafo;ds.Grafo;33;33;100%;65;108;60%
30Lista;ds.AgmPrim;32;32;100%;23;76;30%
31CasamentoExato;ds.CasamentoExato;40;40;100%;66;205;32%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;86;86;100%
33Identifier;ds.Identifier;22;22;100%;60;114;53%
