PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;6;14;43%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;6;21;29%
04MaxMin;ds.MaxMin3;16;16;100%;19;62;31%
05Ordenacao;ds.Ordenacao;10;10;100%;10;20;50%
06Fibonacci;ds.Fibonacci;6;6;100%;9;12;75%
07Fibonacci;ds.Fibonacci;6;6;100%;9;12;75%
08MaxMin;ds.MaxMin4;13;13;100%;9;42;21%
09Ordenacao;ds.Ordenacao;16;16;100%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;0;14;0%;0;79;0%
11ListArray;ds.Lista;12;12;100%;22;31;71%
12Lista;ds.Lista;12;12;100%;16;23;70%
13Pilha;ds.Pilha;12;12;100%;21;31;68%
14Pilha;ds.Pilha;17;17;100%;17;31;55%
15Fila;ds.Fila;19;19;100%;28;43;65%
16Fila;ds.Fila;23;23;100%;21;37;57%
17Ordenacao;ds.Ordenacao;48;48;100%;67;139;48%
18FPHeapMax;ds.FPHeapMax;40;40;100%;59;117;50%
19FPHeapMin;ds.FPHeapMin;42;42;100%;120;120;100%
20Tabela;ds.Tabela;21;21;100%;41;57;72%
21ArvoreBinaria;ds.ArvoreBinaria;41;48;85%;138;160;86%
22TabelaHash;ds.TabelaHash;35;35;100%;70;89;79%
23TabelaHash;ds.TabelaHash;52;52;100%;98;166;59%
24Grafo;ds.Grafo;8;42;19%;10;143;7%
25Grafo;ds.Grafo;34;34;100%;66;109;61%
26Grafo;ds.Grafo;50;51;98%;126;127;99%
27Grafo;ds.Grafo;33;33;100%;65;108;60%
28BuscaEmLargura;ds.Grafo;33;33;100%;65;108;60%
29Grafo;ds.Grafo;33;33;100%;65;108;60%
30Lista;ds.AgmPrim;32;32;100%;23;76;30%
31CasamentoExato;ds.CasamentoExato;40;40;100%;62;205;30%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;28;86;33%
33Identifier;ds.Identifier;22;22;100%;45;114;39%
