PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;49;62;79%
05Ordenacao;ds.Ordenacao;10;10;100%;18;20;90%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;34;42;81%
09Ordenacao;ds.Ordenacao;16;16;100%;44;56;79%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;36;79;46%
11ListArray;ds.Lista;12;12;100%;23;31;74%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;12;12;100%;26;31;84%
14Pilha;ds.Pilha;17;17;100%;25;31;81%
15Fila;ds.Fila;19;19;100%;43;43;100%
16Fila;ds.Fila;23;23;100%;27;37;73%
17Ordenacao;ds.Ordenacao;48;48;100%;88;139;63%
18FPHeapMax;ds.FPHeapMax;40;40;100%;82;117;70%
19FPHeapMin;ds.FPHeapMin;42;42;100%;87;120;73%
20Tabela;ds.Tabela;21;21;100%;41;57;72%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;82;89;92%
23TabelaHash;ds.TabelaHash;52;52;100%;106;166;64%
24Grafo;ds.Grafo;36;42;86%;74;143;52%
25Grafo;ds.Grafo;34;34;100%;90;109;83%
26Grafo;ds.Grafo;50;51;98%;124;127;98%
27Grafo;ds.Grafo;33;33;100%;86;108;80%
28BuscaEmLargura;ds.Grafo;33;33;100%;88;108;81%
29Grafo;ds.Grafo;33;33;100%;84;108;78%
30Lista;ds.AgmPrim;32;32;100%;32;76;42%
31CasamentoExato;ds.CasamentoExato;40;40;100%;116;205;57%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;22;22;100%;94;114;82%
